concept-id,DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
C1990404813-POCLOUD,ECCO Sea Surface Height - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SSH_05DEG_DAILY_V4r5,SEA_SURFACE_HEIGHT_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-SSH44,V4r5
C1990404799-POCLOUD,ECCO Sea Surface Height - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SSH_05DEG_MONTHLY_V4r5,SEA_SURFACE_HEIGHT_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-SSH44,V4r5
C1991543744-POCLOUD,ECCO Sea Surface Height - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SSH_LLC0090GRID_DAILY_V4r5,SEA_SURFACE_HEIGHT_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-SSH44,V4r5
C1991543813-POCLOUD,ECCO Sea Surface Height - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SSH_LLC0090GRID_MONTHLY_V4r5,SEA_SURFACE_HEIGHT_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-SSH44,V4r5
C1991543817-POCLOUD,ECCO Sea Surface Height - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_SSH_LLC0090GRID_SNAPSHOT_V4r5,SEA_SURFACE_HEIGHT_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5S-SSH44,V4r5
C1990404808-POCLOUD,ECCO Ocean and Sea-Ice Surface Stress - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_STRESS_05DEG_DAILY_V4r5,OCEAN_AND_ICE_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-STR44,V4r5
C1990404796-POCLOUD,ECCO Ocean and Sea-Ice Surface Stress - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_STRESS_05DEG_MONTHLY_V4r5,OCEAN_AND_ICE_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-STR44,V4r5
C1991543704-POCLOUD,ECCO Ocean and Sea-Ice Surface Stress - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_STRESS_LLC0090GRID_DAILY_V4r5,OCEAN_AND_ICE_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-STR44,V4r5
C1991543760-POCLOUD,ECCO Ocean and Sea-Ice Surface Stress - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_STRESS_LLC0090GRID_MONTHLY_V4r5,OCEAN_AND_ICE_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-STR44,V4r5
C1990404821-POCLOUD,ECCO Ocean Temperature and Salinity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_05DEG_DAILY_V4r5,OCEAN_TEMPERATURE_SALINITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-OTS44,V4r5
